记录ID,ISBN,书名,状态,购入价格,售出价格,售出时间,历史最高价,处理标签,备注,2026-07-18,2026-07-19,2026-07-20,2026-07-21,2026-07-22,2026-07-23,2026-07-24
4d6ab156bc574e5b8d67ef7252a36a9b,'9787214205353,土地改革与华北乡村权力变迁:一项政治史的考察,持有,56,,,30.20,,签名版,26.20,26.20,26.20,26.20,26.20,26.20,26.20
3afdfd368c794161ac739f390765a056,'9787547258415,墨菲定律,持有,0,,,1.60,,,1.40,1.40,1.40,1.40,1.40,1.40,1.40
a792a98a87eb4ad483b417e0991fd97f,'9787559653192,成事(2021)（冯唐品读曾国藩嘉言钞）,持有,16,,,2.30,待售,,2.30,2.30,2.30,2.30,2.30,2.30,2.30
3823aa8bf49445e782a2fc9429df9c88,'9787513330756,反智时代（谎言中的美国文化）,持有,42,,,2.00,,,2.00,2.00,2.00,2.00,2.00,2.00,2.00
09e3e84367b545de9fa31b2e6b8a3eae,'9787538771152,"别哭,诺冰娜",已售,0,1.2,2026-07-24,1.90,已售,,,,,,,,
76834add89aa4404b3372ce51c2fac03,'9787533971793,亲历中国考古,持有,138,,,111.40,,,107.40,107.40,107.40,107.40,103.40,104.40,100.40
da43fa2754704b608405f952f7a7db67,'9787533973469,幸福力,持有,0,,,1.70,,,1.60,1.60,1.60,1.60,1.60,1.60,1.60
2ca2b666d5a242d5bd6b9a26dd0e430f,'9787544779548,我心归处是敦煌（樊锦诗自述）,持有,18,,,6.30,待售,,3.10,3.10,3.10,3.10,3.10,3.10,4.80
d5a9c406554444599e278d513a60e35d,'9787020138661,儒林外史,持有,11.5,,,12.40,,,12.40,12.40,12.40,12.40,11.50,10.60,9.10
39146daa4b8e488b809e380d9c46f1fe,'9787540476410,有琴一张(全新修订版),持有,25,,,3.90,,,1.50,1.50,1.50,1.50,1.50,1.50,1.50
702a353bb3724e51ab167b76d4e9f80b,'9787522515960,我们去向何方,持有,16,,,3.80,,,3.20,3.80,3.80,3.80,3.70,3.70,3.70
da812a874dce4c1d9eef6c10db2f3c3a,'9787302656142,红楼梦脂评汇校本,持有,29,,,28.70,,,25.70,26.70,27.70,27.70,25.70,25.70,28.70
069ccceca40d45829eb98c3e936474d7,'9787520704649,找寻真实的蒋介石（蒋介石在台湾）,持有,31.56,,,25.10,,,20.10,20.10,18.10,14.10,15.10,13.10,17.10
9002f7490edd44c5875ba268d4fbb214,'9787559815545,复仇女神号（第一艘铁壳战舰的传奇）,持有,12,,,6.70,,,2.10,2.10,2.10,2.10,6.70,6.70,6.70
26664e0cbf544c3d91c7262ee9df96c2,'9787020188468,白痴,持有,25,,,34.30,,,34.30,34.30,34.30,34.30,34.30,34.30,34.30
f9208bbccbcd467ba3f67ad96eca22fc,'9787020174720,哈利·波特与凤凰社(全彩绘本),持有,0,,,52.20,已看,,17.40,15.80,15.80,15.80,18.70,18.70,18.70
52ab5baad7fc4f4fbb1ecc80e900f67e,'9787020160754,哈利·波特与火焰杯(全彩绘本),持有,0,,,41.60,已看,,21.40,21.40,19.40,19.40,22.40,24.40,21.40
2e7abe7b72624693ae257847b0d48bb3,'9789620765841,通向奴役之路,持有,0,,,101.60,,,101.60,101.60,101.60,101.60,99.60,99.60,99.60
e0fe273453b345e78cf554f0898059ac,'9787220106699,娜塔莎之舞（俄罗斯文化史）,持有,39,,,39.30,,,37.30,35.30,34.30,29.30,31.30,30.30,29.30
c585b17d1daa45bcbaf69d0ba2ecd372,'9787544285025,金色梦乡,持有,20,,,5.90,,,2.70,2.70,2.70,2.70,2.70,2.70,2.70
21bc15c3e32146a78dac7030a3c6806c,'9787020162093,一千零一夜,持有,19.5,,,15.20,,,13.20,13.20,13.20,13.20,13.20,13.20,13.20
7d3a03beb2c141fa818b4550567fa296,'9787507543759,佛教世界观,持有,22,,,19.60,,,19.60,19.60,19.60,19.60,18.60,18.60,17.60
111a885b124949e9a9b37d3f4d50db3a,'9787510838798,滇缅公路（二战“中缅印”战场的壮丽史诗）,持有,12.5,,,3.40,,,2.40,2.40,2.40,2.40,2.40,2.40,2.40
38f5f0c293d54b888a74ec71d0da2717,'9787559828989,古罗马的笑:演说家、弄臣和猴子,持有,12,,,14.20,,,2.70,2.70,2.70,2.70,2.70,2.70,2.70
bba84f9e10f3429ab96a424eda012322,'9787520720106,轴心文明与现代社会（探索大历史的结构）,持有,74,,,65.30,,,49.30,47.30,51.30,48.30,51.30,48.30,48.30
345bf30edba04889bec82b9e2b41d9bd,'9787509013434,王赓武谈世界史：欧亚大陆与三大文明,持有,28,,,29.40,,,26.40,26.40,26.40,26.40,25.40,29.40,29.40
b4022fee164a483f8ec06345fdc4f7d5,'9787020199617,白鹿原,持有,17,,,12.40,,,7.40,5.90,6.00,5.50,8.30,8.60,8.40
28b8c64e6b8f498891b5def125f23816,'9787203128830,暮日耀光（张居正与明代中后期政局（精装珍藏版））,持有,40,,,58.30,,,58.30,51.30,51.30,57.30,56.30,55.30,53.30
86f2f6389c4f4469a9d79789698fc01a,'9787523607961,遗忘的脑力,持有,28,,,7.00,待售,,1.30,7.00,7.00,7.00,6.70,6.70,6.70
52ffc2fc593d4412be44ba7102c30eea,'9787542675217,重读20世纪中国小说,持有,74,,,43.10,,,35.10,35.10,35.10,30.10,30.10,30.10,30.10
153a77eac7554aa59cb55c62fd23a970,'9787020189274,浮生六记(彩绘本),持有,19,,,10.90,,,10.20,10.20,10.20,10.20,9.80,9.80,9.80
